Id,Locale,Question,Categories,Question type,Answer type,Selector type,vertical_options subtypes,two_horizontal_options subtypes,A,B,C,D
,EN,Do you consider yourself a talented person?,Priorities,message,message,vertical_options,regular,,"Yes, I consider myself gifted in certain areas",No,"Talent doesn't exist, skill exists",
232,RU,Веришь в гороскопы и предсказания?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you believe in horoscopes and predictions?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Yes,No,,
233,RU,Ты любишь праздники в компании семьи?,Priorities,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you like holidays with your family?,Priorities,message,message,two_horizontal_options,,Yes/No,Yes,No,,
234,RU,Ты веришь в дружбу между женщиной и мужчиной?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you believe in friendship between a woman and a man?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
235,RU,Ты любишь учить других людей и раздавать советы?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you like teaching other people and giving advice?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
236,RU,Ты умеешь идти на уступки?,Relations,message,message,vertical_options,regular,,Я легко иду на компромиссы,"Это даётся мне с трудом, но я стараюсь","Нет, я всегда придерживаюсь своей позиции",Затрудняюсь ответить
,EN,Are you good at making concessions?,Relations,message,message,vertical_options,regular,,I easily compromise,"It's hard for me, but I try","No, I always stand my ground",Difficult to answer
237,RU,Какая сфера жизни у тебя сейчас проседает больше всего?,Priorities,message,message,vertical_options,regular,,Здоровье,Отношения,Карьера и финансы,Другое
,EN,What is the worst area of your life right now?,Priorities,message,message,vertical_options,regular,,Health,Relations,Career and finance,Other
238,RU,Часто ли ты признаешь свои ошибки?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you often admit your mistakes?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
239,RU,Есть ли у тебя список желаний?,Priorities,message,message,vertical_options,regular,,Да,Нет,Пойду напишу,
,EN,Do you have a wishlist?,Priorities,message,message,vertical_options,regular,,Yes,No,I'll go write,
240,Ru ,Ты веришь в дружбу между бывшими партнёрами?,Relations,message,message,vertical_options,regular,,"Да, бывшие могут входить в список моих друзей",В таких отношениях нет места дружбе после разрыва,Может быть только фальшивая дружба с оставшимися чувствами,Затрудняюсь ответить
,EN,Do you believe in friendship between former partners?,Relations,message,message,vertical_options,regular,,"Yes, exes can be on my friends ",In such a relationship there is no place for friendship ,There can only be a fake friendship ,Difficult to answer
241,RU,Быстро понимаешь истинную суть человека после знакомства?,Relations,message,message,vertical_options,regular,,"Да, я хороший психолог",Я не тороплюсь с выводами о человеке,Всегда по-разному,Затрудняюсь ответить
,EN,Do you quickly understand the true essence of a person after meeting?,Relations,message,message,vertical_options,regular,,"Yes, I'm a good psychologist",I don't jump to conclusions about a person,Always different,Difficult to answer
242,RU,Избегать свой страх или встретиться с ним лицом к лицу?,Priorities,message,message,two_horizontal_options,,Detailed,Избегать свой страх,Встретиться с ним лицом к лицу,,
,EN,Avoid your fear or face it?,Priorities,message,message,two_horizontal_options,,Detailed,Avoid your fear,Meet him face to face,,
243,RU,Какой бы цвет тебя идентифицировал?,Interests,message,message,vertical_options,regular,,"Красный, оранжевый",Жёлтый,"Белый, чёрный","Синий, голубой, зелёный"
,EN,What color would identify you?,Interests,message,message,vertical_options,regular,,"Red, orange",Yellow,"White, black","Deep blue, blue, green"
244,RU,"Рискнёшь собой, чтобы спасти жизнь кого-то?",Priorities,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Would you risk your life to save someone's life?,Priorities,message,message,two_horizontal_options,,Yes/No,Yes,No,,
245,RU,Как описали бы тебя твои лучшие друзья?,Elements,message,message,vertical_options,regular,,"""Любитель поболтать""","""Любитель поплакать""","""Любитель денег""","""Любитель приключений"""
,EN,How would your best friends describe you?,Elements,message,message,vertical_options,regular,,"""Chat Lover""","""Cry Lover""","""Money Lover""","""Adventurer"""
246,RU,Ты страстный человек или холодный?,Elements,message,message,vertical_options,regular,,Страстный,Холодный,50/50,Затрудняюсь ответить
,EN,Are you a passionate person or a cold one?,Elements,message,message,vertical_options,regular,,Passionate,Cold,50/50,Difficult to answer
247,RU,Ты веришь в карму?,Rational/Irrational,message,message,two_horizontal_options,,,"Да, я верю в закон бумеранга: поступки имеют свои последствия","Нет, я не верю в карму",,
,EN,Do you believe in karma?,Rational/Irrational,message,message,two_horizontal_options,,,"Yes, I believe in the boomerang law: actions have consequences","No, I don't believe in karma",,
248,RU,Лучше отправиться в путешествие в одиночку или с друзьями?,Priorities,message,message,two_horizontal_options,,,В одиночку,С друзьями,,
,EN,Is it better to travel alone or with friends?,Priorities,message,message,two_horizontal_options,,,Alone,With friends,,
249,RU,Легко ли ты влюбляешься?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you fall in love easily?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
250,RU,Как ты реагируешь на розыгрыши?,Priorities,message,message,vertical_options,regular,,Розыгрыши меня веселят,Меня это вводит в ступор и замешательство,Меня злят и расстраивают розыгрыши,Затрудняюсь ответить
,EN,How do you react to pranks?,Priorities,message,message,vertical_options,regular,,Pranks make me laugh,This brings me to a stupor and confusion,I'm angry and upset by pranks,Difficult to answer
251,RU,Ты быстро влюбляешься?,Relations,message,message,vertical_options,regular,,"Да, это происходит быстро и легко","Нет, это происходит не быстро",Затрудняюсь ответить,
,EN,Do you fall in love quickly?,Relations,message,message,vertical_options,regular,,"Yes, it's fast and easy","Yes, it's fast and easy",Difficult to answer,
252,RU,У тебя есть свой фирменный коктейль или блюдо?,Interests,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you have your own signature cocktail or specialty?,Interests,message,message,two_horizontal_options,,Yes/No,Yes,No,,
253,RU,Ты хочешь обрести популярность?,Interests,message,message,vertical_options,regular,,"Да, это моя давняя мечта","Было бы здорово, но необязательно","Нет, меня это не интересует",
,EN,Would you like to become popular?,Interests,message,message,vertical_options,regular,,"Yes, this is my old dream","Would be great, but not required","No, I'm not interested",
254,RU,Ты в списке хороших или непослушных детей у Санта Клауса?,Priorities,message,message,two_horizontal_options,,Detailed,Хороших детей,Непослушных детей,,
,EN,Are you on Santa Claus' list of good or naughty kids?,Priorities,message,message,two_horizontal_options,,Detailed,Good kids,Naughty kids,,
255,RU,Чем будешь заниматься в старости?,Priorities,message,message,vertical_options,regular,,Посвящу своё время семье,Займусь садоводством,Отправлюсь в путешествие,Другое
,EN,What will you do in old age?,Priorities,message,message,vertical_options,regular,,Dedicate my time to my family,I'll take up gardening,I'll go on a trip,Other
256,RU,Как часто тебе разбивали сердце?,Relations,message,message,vertical_options,regular,,Часто,Было пару раз,Не разбивали,"Это я разбиваю сердца, а не мне"
,EN,How often have you had your heart broken?,Relations,message,message,vertical_options,regular,,Often,It happened a couple of times,Didn't break,It's me who breaks hearts
257,RU,Какой отдых тип отдыха предпочитаешь?,Interests,message,message,vertical_options,regular,,Экскурсии по историческим местам,Праздный пляжный досуг,Тусовку с друзьями на отвязной вечеринке,Романтический ужин в лучшем ресторане
,EN,Which vacation would you prefer?,Interests,message,message,vertical_options,regular,,Excursions to historical places,Beach leisure,Hanging out with friends at a wild party,Romantic dinner at the best restaurant
258,RU,С кем ты захочешь провести один день на необитаемом острове?,Priorities,message,message,vertical_options,regular,,С родными людьми,С друзьями,С моей любовью всей жизни,Предпочту уединение
,EN,Who would you like to spend one day on a desert island with?,Priorities,message,message,vertical_options,regular,,With family people,With friends,With love of all my life,I prefer to be alone
259,RU,В каком городе ты хочешь жить?,Interests,message,message,two_horizontal_options,,Detailed,Шумный мегаполис,Тихую провинцию,,
,EN,In which city would you prefer to live?,Interests,message,message,two_horizontal_options,,Detailed,Noisy metropolis,Quiet province,,
260,RU,Чем ты охотнее заполняешь свободное время?,Interests,message,message,vertical_options,regular,,Общением,Просмотром сериалов и ТВ,Музыкой,Работой по дому
,EN,What do you like to do in your free time?,Interests,message,message,vertical_options,regular,,Communication,Watching series and TV,Music,Housework
261,RU,Какой вид общения ты предпочитаешь?,Relations,message,message,two_horizontal_options,,Detailed,Вживую,По переписке,,
,EN,What communication format do you prefer?,Relations,message,message,two_horizontal_options,,Detailed,Live,By correspondence,,
262,RU,Наличие чего для тебя важно на идеальном свидании?,Interests,message,message,vertical_options,regular,,Веселья,Романтики,Адреналина,Другое
,EN,What is important to you on a perfect date?,Interests,message,message,vertical_options,regular,,Fun,Romance,Adrenaline,Other
263,RU,Собаки или кошки?,Interests,message,message,vertical_options,regular,,Кошки,Собаки,"И те, и другие",Я не люблю домашних животных
,EN,Dogs or cats?,Interests,message,message,vertical_options,regular,,Cats,Dogs,And those and others,I don't like pets
264,RU,Что для тебя стоит в приоритете при выборе человека для общения?,Interests,message,message,vertical_options,regular,,Внешность,Общение,Интеллект,Перспективы
,EN,What is your priority when choosing a person for communication?,Interests,message,message,vertical_options,regular,,Appearance,Communication,Intelligence,Prospects
265,RU,"Что тебе нужно, чтобы расслабиться?",Priorities,message,message,vertical_options,regular,,Немного спокойного отдыха,Посиделки в кругу 2-3 близких друзей,Многолюдная вечеринка в клубе,Другое
,EN,What do you need to relax?,Priorities,message,message,vertical_options,regular,,A little rest,Gatherings with 2-3 close friends,Crowded party in the club,Other
266,Ru ,Счастье для тебя заключается в семейных ценностях или карьерном росте?,Priorities,message,message,two_horizontal_options,,Detailed,В семейных ценностях,В карьерном росте,,
,EN,Happiness for you lies in family values or career?,Priorities,message,message,two_horizontal_options,,Detailed,In family values,In caree,,
267,RU,"Пугает ли тебя ""бытовуха"" в отношениях?",Relations,message,message,vertical_options,regular,,"Я верю, что быт портит отношения",Быт не может повлиять на качество отношений,Настоящая любовь преодолеет все трудности,Затрудняюсь ответить
,EN,"Does the ""everyday life"" in a relationship scare you?",Relations,message,message,vertical_options,regular,,I believe that it spoils relationships,It cannot affect the quality of relationships,True love overcomes all difficulties,Difficult to answer
268,RU,Как ты относишься к маленьким детям?,Priorities,message,message,vertical_options,regular,,"Они жутко кричат, я не люблю их",Я отношусь к ним нейтрально,Я обожаю малышей!,Затрудняюсь ответить
,EN,How do you feel about kids?,Priorities,message,message,vertical_options,regular,,"They scream terribly, I don't like them",I'm neutral towards them,I love babies!,Difficult to answer
269,RU,Какой устой в семье тебе ближе?,Priorities,message,message,vertical_options,regular,,Патриархальные отношения в семье,Гендерное равенство,Матриархальные отношения в семье,Затрудняюсь ответить
,EN,What is the foundation in the family closer to you?,Priorities,message,message,vertical_options,regular,,Patriarchal relationships ,Gender equality,Matriarchal relationships ,Difficult to answer
270,RU,Что выберешь для вечернего просмотра?,Interests,message,message,two_horizontal_options,,Detailed,Психологический триллер с острым сюжетом,Новый выпуск юмористического шоу,,
,EN,What will you choose to watch in the evening?,Interests,message,message,two_horizontal_options,,Detailed,Psychological thriller,New edition of the comedy show,,
271,RU,Какие ароматы ты любишь?,Interests,message,message,vertical_options,regular,,"Терпкие, сильные","Нежные, цветочные",Сладкие,Не люблю ароматы
,EN,What are your favorite flavors?,Interests,message,message,vertical_options,regular,,"Tough, strong","Delicate, floral",Sweet,I don't like flavors
272,RU,Как ты относишься к татуировкам?,Interests,message,message,vertical_options,regular,,"Мне нравятся тату, хочу или есть на моём теле","Мне нравится, как тату выглядит на чужом теле",Мне не нравятся тату,
,EN,How do you feel about tattoos?,Interests,message,message,vertical_options,regular,,"I like tattoos, want or have on my body",I like how the tattoo looks on ,I don't like tattoos,
273,RU,Кофе или чай?,Interests,message,message,vertical_options,regular,,Я без ума от кофе!,Чай!,"И кофе, и чай","Ни то, ни другое"
,EN,Coffee or tea?,Interests,message,message,vertical_options,regular,,I'm crazy about coffee!,Tea!,Both coffee and tea,I don't like either of those
274,RU,К какому типу ты больше относишься?,Introversion/Extraversion,message,message,vertical_options,regular,,"Экстраверт - ориентированный ""во вне себя""","Интроверт - ориентированный ""вовнуть себя""",Затрудняюсь ответить,
,EN,What type are you more like?,Introversion/Extraversion,message,message,vertical_options,regular,,"Extrovert - oriented ""inward""","Introvert - oriented ""inward""",Difficult to answer,
275,RU,Уроки плаванья или фортепиано?,Elements,message,message,vertical_options,regular,,Плаванье,Фортепиано,"Ни то, ни другое",
,EN,Swimming lessons or piano lessons?,Elements,message,message,vertical_options,regular,,Swimming,Piano,I don't like either of those,
276,RU,Читать книги или смотреть фильмы?,Priorities,message,message,vertical_options,regular,,Читать книги,Смотреть фильмы,Затрудняюсь ответить,
,EN,Read books or watch movies?,Priorities,message,message,vertical_options,regular,,Read books,Watch films,Difficult to answer,
277,RU,Какой формат общения ты предпочтёшь на расстоянии?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Звонки,Смс,,
,EN,What format of communication do you prefer at a distance?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Calls,Sms,,
278,RU,Что у тебя стоит в приоритете?,Priorities,message,message,vertical_options,regular,,Брак,Карьера,Здоровье,Затрудняюсь ответить
,EN,What is your priority?,Priorities,message,message,vertical_options,regular,,Marriage,Career,Health,Difficult to answer
279,RU,Где тебе комфортнее: на пляже или в горах?,Interests,message,message,two_horizontal_options,,,На пляже,В горах,,
,EN,Where do you prefere: the beach or the mountains?,Interests,message,message,two_horizontal_options,,,Beach,Mountains,,
280,RU,Работать в офисе или дома?,Priorities,message,message,vertical_options,regular,,В офисе,Дома,Я не хочу работать,"И то, и другое"
,EN,Work in an office or at home?,Priorities,message,message,vertical_options,regular,,In the office,At home,I don’t want to work,Both
281,RU,Ты хочешь родиться в будущем или в прошлом?,Priorities,message,message,vertical_options,regular,,В будущем!,"Хочу жить ""здесь и сейчас""",В прошлом!,Затрудняюсь ответить
,EN,Would you like to be born in the future or in the past?,Priorities,message,message,vertical_options,regular,,In future!,"I want to live ""here and now""",In the past!,Difficult to answer
282,RU,Что выберешь?,Priorities,message,message,two_horizontal_options,,Detailed,Найти любовь всей жизни и умереть,Жить бессмертной жизнью в одиночестве,,
,EN,What will you choose?,Priorities,message,message,two_horizontal_options,,Detailed,Find the love of your life and die,Live an immortal life alone,,
283,RU,Какую суперспособность ты выбираешь?,Interests,message,message,vertical_options,regular,,Быть невидимым,Уметь читать мысли,Телепортироваться в любую точку мира,Видеть будущее
,EN,What superpower would you choose?,Interests,message,message,vertical_options,regular,,To be invisible,Be able to read minds,Teleport to anywhere in the world,See the future
284,RU,Быть героем или злодеем?,Interests,message,message,two_horizontal_options,,Detailed,Быть героем,Быть злодеем,,
,EN,To be a hero or a villain?,Interests,message,message,two_horizontal_options,,Detailed,Be a hero,Be a villain,,
285,RU,Быть очень умным или очень везучим?,Rational/Irrational,message,message,two_horizontal_options,,,Быть очень умным,Быть очень везучим,,
,EN,To be very smart or very lucky?,Rational/Irrational,message,message,two_horizontal_options,,,Be very smart,Be very lucky,,
286,RU,Быть знаменитым онлайн или в реальной жизни?,Introversion/Extraversion,message,message,vertical_options,regular,,Онлайн,В реальной жизни,Не хочу быть знаменитым,
,EN,To be famous online or in real life?,Introversion/Extraversion,message,message,vertical_options,regular,,Online,In real life,I don't want to be famous,
287,RU,"Ты на вечеринке, полной незнакомых людей. Твои действия?",Introversion/Extraversion,message,message,vertical_options,regular,,Быстро развернусь и пойду домой,"Я буду ждать, пока кто-то сам не подойдёт ко мне",Я представлюсь и буду со всеми знакомиться,
,EN,You're at a party full of strangers. Your actions?,Introversion/Extraversion,message,message,vertical_options,regular,,Quickly turn around and go home,Wait until someone comes to me,I will get to know everyone,
288,RU,Без чего ты не можешь выйти из дома?,Priorities,message,message,vertical_options,regular,,Наушники,Зонтик,Солнцезащитный крем,Телефон
,EN,What can't you leave the house without?,Priorities,message,message,vertical_options,regular,,Headphones,Umbrella,Sunscreen,Telephone
289,RU,Выбери вкус для своего праздничного торта,Interests,message,message,vertical_options,regular,,Ваниль,Шоколад,Лимонно-ванильный,Клубника
,EN,Choose a flavor for your birthday cake,Interests,message,message,vertical_options,regular,,Vanilla,Chocolate,Lemon Vanilla,Strawberry
290,RU,Каким ценностям ты хочешь научить своих детей?,Priorities,message,message,vertical_options,regular,,Мир жесток и несправедлив,Важно подчиняться правилам,Тяжёлая работа окупается,Мир полон чудес
,EN,What values do you want to teach your children?,Priorities,message,message,vertical_options,regular,,Peace cruel and unjust,It's important to follow the rules,Hard work pays off,The world is full of wonders
291,RU,"Как ты думаешь, каким было твоё воплощение в прошлой жизни?",Priorities,message,message,vertical_options,regular,,Человек из знатной семьи,Кто-то особенный,Животное,Какой-то крестьянин
,EN,Who do you think you were in a past life?,Priorities,message,message,vertical_options,regular,,I was from a noble family,I was someone special,I was an animal,I was some kind of peasant
292,Ru ,Стакан наполовину пуст или наполовину полон?,Elements,message,message,two_horizontal_options,,Detailed,Наполовину пуст,Наполовину полон,,
,EN,Is the glass half empty or half full?,Elements,message,message,two_horizontal_options,,Detailed,Half empty,Half full,,
293,RU,Ты веришь в существование внеземной жизни?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you believe in the existence of extraterrestrial life?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Yes,No,,
294,RU,Где ты чувствуешь себя лучше всего?,Priorities,message,message,vertical_options,regular,,Дома,На сцене,В путешествии,С друзьями
,EN,Where do you feel the best?,Priorities,message,message,vertical_options,regular,,At home,On the stage,Traveling,With friends
295,RU,Какое качество описывает тебя лучше всего?,Priorities,message,message,vertical_options,regular,,Неординарный,"Напористый, агрессивный",Саркастичный,Спокойный
,EN,What quality describes you best?,Priorities,message,message,vertical_options,regular,,Extraordinary,"Pushy, aggressive",Sarcastic,Calm
296,RU,В чём твой смысл жизни?,Priorities,message,message,vertical_options,regular,,В служении!,Помощь нуждающимся!,Сделать невозможное возможным!,Построить семейную империю!
,EN,What is your meaning of life?,Priorities,message,message,vertical_options,regular,,In service!,Help people in need!,Make the impossible possible!,Build a family empire!
297,RU,У тебя много друзей?,Introversion/Extraversion,message,message,vertical_options,regular,,"Их немного, только единицы по-настоящему близки мне","Да, у меня много друзей",У меня нет друзей,
,EN,Do you have a lot of friends?,Introversion/Extraversion,message,message,vertical_options,regular,,"There are few of them, only a few are really close to me","Yes, I have a lot of friends",I have no friends,
298,RU,Ты состоишь в токсичных отношениях. Твои действия?,Relations,message,message,two_horizontal_options,,Detailed,Немедленно уйду,"Останусь, привязанность и чувства важнее",,
,EN,You are in a toxic relationship. Your actions?,Relations,message,message,two_horizontal_options,,Detailed,I'll leave immediately,I'll stay because of my feelings,,
299,RU,Как ты относишься к конфликтам?,Elements,message,message,vertical_options,regular,,Избегаю их,Отстаиваю свою правоту в споре,"Не вмешиваюсь в конфликты, держу нейтралитет",
,EN,How do you feel about conflicts?,Elements,message,message,vertical_options,regular,,Avoid them,I defend my rightness in a dispute,"I don’t interfere in conflicts, I keep neutrality",
300,RU,Опиши себя в отношениях,Relations,message,message,vertical_options,regular,,"Я за то, чтобы быть ведомым в отношениях",Я беру главенство в отношениях,Я за равенство и партнёрские отношения,Затрудняюсь ответить
,EN,How would you describe yourself in a relationship?,Relations,message,message,vertical_options,regular,,I'm all for being led in a relationship,I take the lead in relationships,I'm for equality and partnerships,Difficult to answer
301,RU,Ты предпочтёшь выделиться или слиться в толпе людей?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Выделиться,Слиться,,
,EN,Do you prefer to stand out or blend in with the crowd?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Stand out,Blend in with the crowd,,
302,RU,Быть у власти или быть исполнителем задач?,Priorities,message,message,two_horizontal_options,,Detailed,Быть руководителем,Быть служащим,,
,EN,To be in power or to be an executor of tasks?,Priorities,message,message,two_horizontal_options,,Detailed,Be a leader,Be an employee,,
303,RU,Как ты относишься к обучению?,Elements,message,message,vertical_options,regular,,Я терпеть не могу обучаться чему-то новому!,Я обожаю познавать новое!,Нейтрально,"Я предпочитаю быть наставником, а не учеником"
,EN,How do you feel about studying?,Elements,message,message,vertical_options,regular,,I can't stand learning new things!,I love learning new things!,Neutral,I prefer to be a teacher rather than a student
304,RU,В чём твоя сила?,Priorities,message,message,vertical_options,regular,,"Служение чему-то, кому-то",Дисциплина,Творчество,Надёжность
,EN,What is your power?,Priorities,message,message,vertical_options,regular,,Service to something or someone,Discipline,Creation,Reliability
305,RU,Тебе нравятся фильмы жанра фэнтези?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you like fantasy films?,Rational/Irrational,message,message,two_horizontal_options,,Yes/No,Yes,No,,
306,RU,Взаимодействовать с какой стихией природы тебе комфортнее всего?,Elements,message,message,vertical_options,regular,,Огонь,Земля,Вода,Воздух
,EN,What element of nature you are most comfortable interacting with?,Elements,message,message,vertical_options,regular,,Fire,Earth,Water,Air
307,RU,Ты любишь танцевать?,Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you like to dance?,Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
308,RU,Как ты действуешь при принятии решения?,Elements,message,message,two_horizontal_options,,Detailed,Действую спонтанно,Тщательно всё обдумываю,,
,EN,How do you act when making a decision?,Elements,message,message,two_horizontal_options,,Detailed,Act spontaneously,I think everything carefully,,
309,RU,С кем ты предпочитаешь праздновать памятные даты?,Introversion/Extraversion,message,message,vertical_options,regular,,В большой весёлой компании,В узком дружеском кругу,Наедине с собой,
,EN,With whom do you prefer to celebrate anniversaries?,Introversion/Extraversion,message,message,vertical_options,regular,,In a big fun company,In a narrow circle of friends,Alone,
310,RU,Какое из пары слов тебе больше нравится?,Relations,message,message,two_horizontal_options,,Detailed,Справедливость,Сочувствие,,
,EN,Which of the two words do you like best?,Relations,message,message,two_horizontal_options,,Detailed,Justice,Sympathy,,
311,RU,"Если кто-то о тебе немного нелестно выскажется, ты...",Priorities,message,message,two_horizontal_options,,Yes/No,Отнесёшься с юмором,Обидешься,,
,EN,"If someone talks about you a little unethical, you...",Priorities,message,message,two_horizontal_options,,Yes/No,Take it as a joke,You'll be mad at person,,
312,RU,Что ты ценишь в себе больше?,Priorities,message,message,two_horizontal_options,,Detailed,Индивидуальность,Преданность,,
,EN,What do you value more in yourself?,Priorities,message,message,two_horizontal_options,,Detailed,Individuality,Devotion,,
313,RU,"Будучи артистом, ты выберешь...",Elements,message,message,two_horizontal_options,,Detailed,Выступать в группе,Сольную карьеру,,
,EN,"If you were an artist, would you prefer...",Elements,message,message,two_horizontal_options,,Detailed,Perform in a band,Solo career,,
314,RU,"Тебе больше нравится, когда свои мысли излагают...",Rational/Irrational,message,message,two_horizontal_options,,Detailed,Ясно и четко,Оригинально и необычно,,
,EN,Do you like it better when you express your thoughts...,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Clear and distinct,Original and unusual,,
315,RU,Запланированное расписание дел...,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Мне помогает,Меня сковывает,,
,EN,Planned schedule...,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Helps me,Binds me,,
316,RU,Для тебя важнее...,Priorities,message,message,two_horizontal_options,,Detailed,Добиться результата,Получить удовольствие от процесса,,
,EN,More important for you...,Priorities,message,message,two_horizontal_options,,Detailed,To achieve result,Enjoy the process,,
317,RU,"Когда надо придумать нестандартный выход из положения, ты...",Elements,message,message,two_horizontal_options,,Detailed,Рассматриваешь много вариантов,Настаиваешь на единственном,,
,EN,"When you need to come up with a non-standard way out, you...",Elements,message,message,two_horizontal_options,,Detailed,Considering many options,Insist on the only,,
318,Ru ,"Если кто-то при тебе начинает нести откровенную чушь, ты...",Relations,message,message,two_horizontal_options,,Detailed,"Промолчу, чтобы не затевать дискуссию",Все же выскажешь правильную точку зрения,,
,EN,"If someone around you starts talking outright nonsense, you...",Relations,message,message,two_horizontal_options,,Detailed,I'll keep silent to avoid discussion,I'll express the right point of view,,
319,RU,"Как ты думаешь, кем быть хуже?",Rational/Irrational,message,message,two_horizontal_options,,Detailed,Неразумным человеком,Недоброжелательным человеком,,
,EN,Who do you think is worse?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Unreasonable person,An unkind person,,
320,RU,При принятии решений ты чаще опираешься...,Elements,message,message,two_horizontal_options,,Detailed,На собственное мнение,На мнение большинства,,
,EN,"When making decisions, you often rely on...",Elements,message,message,two_horizontal_options,,Detailed,To your own opinion,To the opinion of the majority,,
321,RU,Фантазёры и мечтатели тебя...,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Меня раздражают,Мне нтересны,,
,EN,Visionaries and dreamers...,Rational/Irrational,message,message,two_horizontal_options,,Detailed,Alloing me,Interesting for me,,
322,RU,Ты откладываешь деньги на будущее?,Rational/Irrational,message,message,vertical_options,regular,,"Да, обязательно",По настроению,"Нет, мне есть куда потратить деньги",Затрудняюсь ответить
,EN,Are you saving money for the future?,Rational/Irrational,message,message,vertical_options,regular,,"Yes, definitely",By mood,"No, I have money to spend now",Difficult to answer
323,RU,Твой товарищ по команде совершил повторную ошибку. Твои действия?,Relations,message,message,vertical_options,regular,,"Напомню, как надо было правильно действовать в этом случае","Подбодрю, не стану акцентировать внимание",Выскажу негативное мнение о его способностях,На общем собрании поставлю под вопрос его компетентность
,EN,Your teammate made another mistake. Your actions?,Relations,message,message,vertical_options,regular,,Say how to act correctly in this case,"Cheer, not focus",Give a negative opinion about his abilities,At the general meeting question his competence
324,RU,"Если ты берешься за дело, обязательно доведёшь его до конца?",Priorities,message,message,vertical_options,regular,,"Да, независимо от ситуации","Необязательно, взвешу свои потери и выгоды","Нет, ситуация может измениться, дело станет неактуальным","Нет, я могу не справиться или мне не хватит целеустремленности"
,EN,"If you take on a task, will you definitely complete it?",Priorities,message,message,vertical_options,regular,,"Yes, no matter the situation","Not necessarily, weigh my losses and gains","No, the situation may change","No, I may not succeed or not have enough determination"
325,RU,"Совершаешь поступки, руководствуясь эмоциями, а не здравым смыслом?",Rational/Irrational,message,message,vertical_options,regular,,"Да, все люди подвержены влиянию эмоций, это нормально","Нет, трезвый расчет должен всегда выше эмоциями",Затрудняюсь ответить,
,EN,Are you doing things based on emotions rather than common sense?,Rational/Irrational,message,message,vertical_options,regular,,"Yes, all people are affected by emotions","No, common sense should always be above emotions",Difficult to answer,
326,RU,Тебе легко удаётся сблизиться с людьми?,Introversion/Extraversion,message,message,vertical_options,regular,,Всегда легко,Нелегко,Затрудняюсь ответить,
,EN,Do you find it easy to get close to people?,Introversion/Extraversion,message,message,vertical_options,regular,,Always easy,Not easy,Difficult to answer,
327,RU,У тебя широкий круг друзей?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do you have a lot of friends?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Yes,No,,
328,RU,"Будешь волноваться, если долго не сможешь общаться с людьми?",Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Would you worry if you could not communicate with people for a long time?,Introversion/Extraversion,message,message,two_horizontal_options,,Yes/No,Yes,No,,
329,RU,Ты хорошо замечаешь изменения в эмоциях и интонации других людей?,Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Are you good at noticing changes in other people's emotions and intonations?,Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
330,RU,На ком ты больше концентрируешься?,Elements,message,message,two_horizontal_options,,Detailed,На себе,На других,,
,EN,Who do you focus on more?,Elements,message,message,two_horizontal_options,,Detailed,On myself,On others,,
331,RU,Тебе легко показывать свою привязанность другим людям?,Relations,message,message,two_horizontal_options,,Detailed,"Да, я открыто выражаю свою тягу к другим","Нет, мне бывает тяжело открываться",,
