Id,Question,A,B,C,D
383,Your two friends like each other romantically. What will you do?,I'll hint to both that they like each other,"I won't do anything, they have to decide for themselves",Arrange a secret date,Loudly declare in front of them that they like each other
384,"You obtain a physical defect (for example, a scar on your face). What is your reaction?",Appearance has never played a major role in my life,It will be a shock; try to mask it,I'm sure there is a way to revert to my old look,Eventually I can get used to it and get my life back
385,What is power?,,,,
386,What is your priority in a relationship when conflict arises?,I strive hard to get my way,I try to calm my partner down and save our relationship,I renounce my ideas for the sake of my partner,
387,Do you have jerky movements?,,,,
388,Are you quick to memorize new information?,,,,
389,Do you often think how your actions impact on others?,,,,
390,Which of the following qualities do you value most in people?,Persistence,Breadth of thinking,"Efficiency, the ability to ""show yourself""",
391,Are you prone to pedantry?,,,,
392,Do you quickly forget about the troubles that happen to you?,,,,
393,Do you like to analyze your actions?,,,,
394,Which of the following definitions best suits you?,,,,
395,What would you do if an opponent personally offended you?,Answer them in the same tone or even harsher,"Ignore it, they're just tired",Become defiantly offended,
396,"If you mess up, who do you blame first?",,"""Fatal"" bad luck",Other circumstances,
397,Do you sometimes lose youself in a relationship?,,,,
398,Do you feel like you can forget or neglect yourself in a relationship?,,,,
399,"When your partner doesn't keep their word, do you take it personally?",,,,
400,Do you ask other people for help?,"Yes, it isn't hard for me","Don't like asking for help, I don't need it",It's hard for me to ask help,
401,Do you find it easy to balance independence and intimacy in a relationship?,,,,
402,What's your role in the team?,,,Sage,Attendant
403,Do you like trying new things?,,,,
404,Are you trying to lead a healthy lifestyle?,,,,
405,Choose the qualities that resonate with you the most,Charity and equality,Drive and swiftness,Industriousness,Ideas and innovations
406,Do you often feel like you need friends who can understand and encourage you?,,,,
407,Do you get embarrassed when you meet a nice person of the opposite sex?,,,,
408,Does it often happen that you act thoughtlessly?,,,,
409,Do you like to be in company of people often?,,,,
410,Do you try to limit your social circle to a small number of your closest friends?,,,,
411,Do you dream a lot?,,,,
412,Do you consider yourself a fun person?,,,,
413,Do you feel restless being in a big company?,,,,
414,Do you like tasks that require concentration?,,,,
415,Do you like to play pranks on others?,,,,
416,Would you prefer to live in a house that is...,In a populated city,Something in between,Lonely in the deep forests,
417,"When talking to people, you...",Are ready to enter into conversation,Something in between,I prefer to stay away,
418,Can money buy happiness?,,,,
419,During speaking you prefer to...,Express your thoughts without thinking,Speak out carefully in advance,,
420,Do you always achieve your goals?,"Yes, I finish what I've started","No, sometimes I leave the goal unfulfilled",,
421,Do people think you're an interesting storyteller?,"Yes, I can tell interesting stories",No they don't,,
422,"When you see sloppy, unkempt people, you...",You accept them for who they are,Are disgusted,,
423,Do you feel embarrassed if you suddenly find yourself in the center of attention?,,,,
424,"At school, you preferred...","Practice music, singing","Wood shop, crafting something",Engaging in science,Learning languages
425,Do you think it's more important that parents...,Help children develop their senses,Teach children to restrain their feelings,,
426,Do you think we need...,"More serious, down to earth people",More dreamers planning for a better future,,
427,Did you willingly take part in sporting events in your youth?,,Depends on whether I'm good at the sport,,
428,"Do you usually keep silent in the presence of people older in age, experience, and position?",,,,
429,Are you good at navigating and remembering unfamiliar places?,,,,
430,Would you rather work on your own than work with others?,,,,
431,Would you like a quiet life more than fame and noisy success?,,,,
432,Do you feel like a mature person?,"Yes, I feel like a person who has already gathered experience",,"No, childishness is closer for me",
433,How do you feel about obscene words?,"Quietly, I often use them in conversation",I only use them when I'm caught off guard,I'm against swearing,
434,Do you prefer film...,With more military and political battles,With many feelings and imagination,,
435,How do you feel about it if someone starts to give you commands?,Most of the time I agree with what they say,"Rebel inside myself, but agree",Express resistance,Only I can command others
436,Would you rather have a job...,With a constant modest salary,Big pay but risky job,,
437,"To be informed, do you prefer to receive information through...",Communication with other people,Media sources on the internet or TV,,
438,Do you enjoy taking an active part in community work?,,,,
439,You are better described as...,,,,
440,Do you get angry with people too quickly?,,,,
441,Does the sight of uncleaned room irritate you?,"Yes, I don't like mess","No, I take it easy",,
442,Do you consider yourself a hardworking person?,"Yes, labor is my middle name",,"No, sometimes work is hard for me",
443,Would you like to spend the evening in a quiet favorite activity or in a lively company?,Spend time doing what I love,Among the people,,
444,Do you like it when someone watches you work?,,,,
445,"At school, did you prefer...",Language and Literature,Mathematics,,
446,"Cooking a new dish, you...",Stick to the recipe,Improvize while cooking,,
447,"Looking forward to something in the future, you feel better when...",I have everything planned out in advance,There are many variables for development,,
448,Which statement describes you best?,Seem to be a closed person,Seem very sociable to people,,
449,"To sum up your description, you are a...",Thoughtful and somewhat impractical person,Practical and fact-focused person,,
450,"When interacting with others, you are...",An open and kind person,A closed and cold person,,
451,Which statement describes you best?,I like to share my ideas with others,I like to brainstorm ideas alone,,
452,Which statement describes you best?,,,,
453,"When interacting with other people, you don't like it when...",One is indifferent to other people's feelings,One gets the facts wrong and doesn't think logically,,
454,What kind of hero would you like to be?,Shakespeare,Einstein,,
455,"In your opinion, when are people most likely to make mistakes?",When they don't listen to common sense,When they don't listen to their heart,,
456,How do you feel about planning?,I prefer being organized,I prefer spontaneity,,
457,Your leadership abilities are characterized by...,Indecisiveness and pliability,Control and rigor,Optimism and openness,
458,How do you feel about control?,I like to check everything,I'm careless and sometimes I let everything take its own course,,
459,"After the party, others will probably say that you...",Talked too much,Mostly kept quiet and listened to others,,
460,Which statement describes you best?,"In communication, I take everything at face value","In communication, I'm constantly looking for hidden motives",,
461,What annoys you the most is when people...,Cannot act in an organized and collected manner,Too conservative and lacking spontaneity,,
462,What type of teacher annoys you more?,The teacher who talks abstractly,A teacher who is too rational,,
463,Do you believe in equality between people?,All people are equal,There is a social difference between people,,
464,Do you admit your mistakes and learn from them?,,,,
465,Do you have a clear idea of where you want to go in life?,,,,
466,"In your opinion, do you have a self-preservation instinct (physical and moral)?","Yes, I protect myself from danger","No, sometimes I put myself in great danger",,
467,Are you very active and don't spend much time doing nothing?,,,,
468,Can you manipulate and influence others when the situation calls for it?,"Yes, I often resort to psychological maneuvers","Happens, but rarely","No, sometimes I put myself in great danger",
469,Do you seek revenge when you've been wronged?,,,"Sometimes, but not always",
470,Do you often use abstract and complex words in your writing and speech?,,,,
471,Do you prefer being a teammate or being in charge?,Be on a team,Be a leader,,
472,"Do you aspire to be someone who spreads enthusiasm among friends, colleagues, and loved ones?",,,,
473,Do you love getting compliments?,"Yes, I love to hear nice words addressed to me",I'm embarrassed by compliments ,"No, I don't like it",
474,Are you comfortable in leadership positions?,,,,
475,Are family traditions important to you?,,,,
476,Do you think you have an inquisitive mind?,"Yes, I am a very curious person","No, I can't say that about myself",,
477,Do you often find yourself daydreaming or getting lost in your own world?,"Yes, I'm a born dreamer",,,
478,Do you solve problems by following your intuition?,,,,
479,You are out of the house without an umbrella. It started to rain and you got wet. Are you upset?,"No, I always think positively","Yes, the weather will annoy me",,
480,Is winning important to you?,"Yes, I'll do anything to win",,"No, winning is not so important to me",
481,Is it easy to make you feel anxious?,,,,
482,Are you ready to commit to a relationship?,,,,
483,"Are you often described as a sensitive, attentive, and polite person?",,,,
484,Are you afraid of heights?,,Depend on the height,,
485,Do you get along with cats?,"No, I don't really like animals",They are cute but without fanaticism,Of course I'm a cat person!,
486,Do things happen that you already knew would happen?,"Yes, I see the development of events in advance",,,
487,Do you believe in omens?,,No it's nonsense,,
488,Main thing on Saturdays is...,Clean up and meet with people,Sleep too much,Make a fuss,Do a lot of things
489,How do you solve problems?,I turn on the logic and draw up an action plan,In sophisticated ways,Waiting for them to resolve themselves,I ask for help
490,At your home there is always...,Cleanliness and tidiness,"Coldness, like in a crypt",A lot of food,Mess
491,Choose a character that you love in yourself,Society,Determination,Equilibrium,Sensitivity
492,Do you keep yourself fit?,"I regularly go training, but only to relax","Keep a diet, I play sports and regularly lift weights","Yes, but without obsession, yoga and pool are the best for me",
493,What does your perfect summer vacation look like?,Measured rest with comfort,Yoga-tour high in the mountains,Traveling Hitchhiking with Friends,Excursion tour of ancient cities
494,What in a person can you push you away?,Coarseness,Sluggishness,Craving for bad habits,Laziness
495,How do you feel about friendship?,"Have many friends, try to pay attention to everyone ",I have a certain circle of close friends,"I don’t immediately open up, so I choose friends for the long term","I quickly take new friends, but I also quickly lose interest "
496,Your colleague is tired and complains about a headache to the leadership. What do you think about this?,"I sympathize, headaches are unpleasant",He's a whiner,"I roll my eyes, he's definitely lying to leave early",
497,Rules are needed...,To avoid the chaos,To break them,,
498,Long work is...,Terrible,"Acceptable, there is no getting away from it",My passion,
499,What do you think about after waking up in the morning?,Of course about breakfast,What the weather will be,About upcoming tasks,
500,Where do you take energy?,"From difficult situations, they activate me",From communication,"Shopping, I seem to come to life","From conflicts, 'til Valhalla!"
501,How does your morning begin?,I check social networks,From a glass of water,"I sleep until lunch, I don't experience mornings",With a hearty breakfast 
502,"If you are in danger, what will you do?",I will run away,The best defense is a good offense,Ask for help from relatives,I'm always safe!
503,What will you eat for lunch?,"Cabbage, I'm on a diet",Can you get sweets for lunch?,Meat and vegetables,Fast food
504,Children are...,Difficulties,The meaning of life,Logical continuation of love,I find it difficult to answer
505,On the way to work or study...,I sleep on public transport,I work or study from home,I look at passers -by and their faces,I check email and social networks
506,In the evening you...,Lie in bed without strength,Go to the gym,Have dinner with friends or loved ones,"Watch videos, films, TV shows"
507,"A friend has betrayed you, what will you do?",I will cross them out of my life,I will wait for an apology,I will throw a tantrum and express everything ,"Nothing, I will observe"
508,What do you do if you feel that you've become sick?,I buy medicine,I delay a visit to the doctor and hope that it will somehow pass,I call the doctor and follow his recommendations,I'm never sick
509,Do you keep a diary?,"Yes, for many years",I don't have time for such things,,
510,How do you deal with stress?,I cry and eat a lot,I work more,Watch movies,Consult with loved ones
511,In what area do you most often have problems?,In health,In finance and career,In personal life,In self-development
512,What do you think annoys your friends about you?,I'm toxic,I easily lose myself,I'm quite vengeful,I'm awkward
513,How do you make decisions?,I go forward with strength and taking the first step,I consult with specialists,I ask what loved ones would do,
514,Do you notice that you are trying to please everyone?,Constantly,I put my needs at the top,,
515,You were given a compliment. What is your reaction?,I'll start denying it,I will give my thanks,I know that I'm the best,
516,What is your main positive quality?,Empathy,Restraint,Openness,Independence
517,Where would you spend a million dollars?,On charity,On entertainment or beauty,On your business,For real estate
518,Do you try to seem better than you really are when meeting a person?,"Of course, who isn't trying?",,"No, I am who I am",
519,You see a post about health. Will you read it?,,I will flush my eyes out,,
520,How often do you apologize?,Always!,Only when I really feel my guilt,"No, it's hard for me to ask for forgiveness",I find it difficult to answer
521,The main thing in a gift is...,Attention,Price,Practicality,Compliance with the interests of the recipient
522,Do you ask for advice more often than giving it?,I ask for advice,I give advice,,
523,How are you feeling now?,,,"Not great, could be better",Everything is terrible
524,Do you think you can do without social networks?,,"It will be difficult, but I can adapt ",,
525,What do you finding an exhaust outlet?,In daily rituals,In sports,In communication with people,In cooking food
526,Your friend complains about life. Your actions?,Limit our communication; I don't like complaints,I will act as a psychologist,I will share my problems in response,I'll ignore it
527,In any incomprehensible situation you...,"Panic, because everything is not going according to plan","I'll reassure myself, any situation is for good",I abstract and observe,Try to change the situation
528,How do you feel about meditation?,I love to meditate,"Neutral, sometimes practice",I don’t like it,Have not tried
529,Do you think opposites of personality attract?,Different people complement each other well,Always different,"No, it is better to choose those who are like you",
530,What sport will you choose?,,Rod pull,,
531,Do you like to win in a debate?,,,Depends on the topic of debate,
532,Are you an optimist or a pessimist in your opinion?,,,,
533,Do you know how to fulfill your desires by the power of thought?,"Yes, I believe in the materialization of desires","No, I set goals and persistently go after them",,
534,Do you have a desire to leave everything and go to another country?,,,,
535,Do you feel comfortable alone?,,,,
536,Do you like to cling to the little things?,"Yes, I'm attentive to the details",Depends on the situation,,
537,How many hours do you sleep?,,,,I have an unstable sleep pattern
538,What upsets or angers you the most?,,I do it to myself,,
539,If you really need a certain job...,"All methods will be utilized, the main thing is to get a job",We'll see how it goes,"If I don’t get it, it was unsuitable! I will find another",
540,Do others listen to your opinion?,,,Nobody cares about my opinion,
541,Do you easily record voice messages to strangers?,"Yes, what about it?","No, it's tactless",,
542,In a group video meeting you...,Sit with the webcam turned on,I prefer not to turn on the webcam,,
543,How did you feel about self-isolation during the pandemic?,"Hurray, I can not leave the house!",It's so boring to stay at home!,,
544,Do you often post your photos and videos on social networks?,"Yes, I love to show myself",,I don’t post anything,
545,Do you easily ask others for what you need?,,"No, with difficulty, I get embarrassed",I don’t ask,
546,Do you like your job?,,,,
547,Do you respond quickly to messages?,"Yes, I try to quickly give feedback",I like to leave it for later and forget about it,It depends on the messages,
548,"What's better, bitter truth or sweet lie?",Bitter truth,Sweet lie,Depends on the situation,
549,How do you feel about obsessive people?,Tactfully try to explain that you should not be imposed on,Everyone has flaws,"I can not stand them, I keep my distance",I'm that obsessive person myself
550,Do you consider yourself a greedy person?,"Yes, but not greedy, rather I'm frugal","No, I'm a generous person",,
551,Do you consider yourself a good person?,,,"There are no concepts of ""good"" and ""bad""",
552,Do you often feel guilty?,,,,
553,Do you like to brag to people?,,,,
554,Do you often doubt yourself and your abilities?,"Yes, sometimes",Very rarely,"No, I'm self-confident",
555,Can you spontaneously break on a trip?,Spontaneity is my middle name!,Depends on my mood,It is better to warn me about such things a couple of months in advance,
556,The profession of your dreams is...,Something creative,The main thing is that I'm a boss,Constant communication with people,"Calm, monotonous work"
557,How often do you spend time on hobbies?,I devote a lot of time to my hobbies,I try to give as much time as possible,I don't make time at all,I have no hobbies
558,Can parents affect your opinion about any relations?,"Yes, I listen to their advice",Very rarely,I try not to involve my parents in my relations,
559,Do you have any plans and goals for the next year?,"Of course, everything is planned",Some distant dreams,I don't even know what I will do tomorrow,
560,Do you follow any religion?,,,,
561,In what situations do you feel uncomfortable?,When I understand that nothing depends on me,When something is pressing on me,When I'm next to unpleasant people,When I feel uncertainty
562,What would you avoid at any cost on an uninhabited island?,All poisonous animals,I will not climb the cliffs,I will not go into the jungle,I will not swim in the water
563,"Do you like horror (films, stories)?",,,,
564,Do you consider yourself an insightful person?,,,,
565,"If you don't have any mood, then...","I don’t envy others, because I would have to be them",I'll get through this on my own,Everyone should know about this!,Need to discuss this with a friend
566,From whom do you most often receive messages?,Friends,Colleagues,From one person,Not from anyone
567,Can you manage people?,This is my calling!,"To be honest, it's hard",,
568,Group photo! Your actions?,I'm called to be the photographer,I keep to the side so that I'm not noticed in the photo,I find a place somewhere in the center of the photo,Depends on my mood
569,Do you like to edit your face in photos?,,,Occasionally,I don't take pictures
570,What do you spend money on?,I save it for a rainy day,"For education, travel, my dreams",There are so many things that I have not yet bought ,I'll go somewhere to have passive income
571,How often do you do pick up around the house?,Consistently once a week,When there is strength and inspiration,A couple of times a month,Very rarely
572,Do you consider yourself a workaholic?,"Yes, I've noticed it in myself",Depends on my mood,I try not to process it,
573,"You get home, and the refrigerator is empty. What to do?",Call for food delivery,Go to the store and then cook myself some food,I'll call my friends to bring something,"Nothing, I'll starve"
574,When will you start packing your suitcase for your trip?,In a day,In a few hours,In several days,"Oh, I'm already late!"
575,Do you always read books to the end?,,,,
576,Your mood is...,Constant and sharp changes,"Depressed, often worrying about trifling things","Usually stable, elevated",Ordinary as always
577,How do you behave during conversations?,I like to be short,I like to tell different interesting stories,,
578,Do you like parties and hanging out with friends?,,Always different,,
579,Did you experience bullying at school?,"Yes, I was the victim",I bullied someone myself,I protected others from bullying,"No, there was no such thing in my life"
580,You see your relationship with someone is gradually fading away. What will you do?,I will stop them,Talk with my soulmate and try to correct the situation,,
581,Do you have many problems in your life?,Rare and minor failures,My life is one continuous problem,,
582,Do you hang labels on people?,,,,
583,Everyone looks at you. What do you think?,Something is wrong with me,Maybe I'm getting dirty?,How could they not look at such a star?,This is fine
584,What is tolerance for you?,Respect for the personality of every person,The ability to be condescending to those who are not like me,An imposed idea of ​​universal equality,
585,Do you have a lot of free time now?,,Free time? I live at work,,
586,Would you like to change something in your life right now?,,,,
587,What is the worst thing for you?,Loneliness,Staying unemployed,Boredom,
588,Are you on a healthy diet?,,"Yes, but sometimes I allow myself too much",,
589,How much water do you drink a day?,More than 15 liters,Always different,I don't keep track of it,Very little
590,Choose where you want to go,,,,
591,What are you going to look at on YouTube?,Review: 10 most expensive hotels in the world,7 ways to motivate yourself,Top 15 most romantic films,50 useful phrases in a foreign language
592,You are 10 minutes late for work... What will you do?,"I won’t come at all, better to avoid shame",I will warn the bosses and apologize for being late,Who cares when the interns come?,
593,How are you going to a party?,I go in ordinary clothes,"I'm preparing for three hours, running from room to room",,
594,How do you do your job?,"Responsibly, you can always rely on me",I do several tasks simultaneously,Sometimes I'm lost in the clouds,I don’t fulfill anything at all
595,Do you cry often?,,,,
596,Do you have secrets?,Yes. Doesn't everyone have them?,"No, I have nothing to hide",,
597,What is your strength?,In my muscles,In my intellect,,
598,Good or evil?,,,,
599,If you were in a relationship who would take care of the house?,Housekeeper,I do everything myself,My partner,Split the responsibilities
600,What do you discuss with your friends most often?,,,Talking about myself,Always different
601,Do you often think about changing your hairstyle?,,,,
602,Do you know how to flirt?,I can and love it,,,
603,Do you like memes?,,,,This is no longer trendy
604,Do you play some kind of musical instrument?,,,,
605,Do you have a tendency to make decisions that you can't explain later?,,,,
606,"Do you devote free time to any creative endeavor: poetry, drawing?",,,,
607,Do you habitually wake up early on Sunday if the alarm doesn't ring?,,,,
608,"You were just told a joke, what is your reaction?",Loud laughter,A restrained smile,,
609,Some guests suddenly arrived. Are you glad?,"No, because you need to be warned about visits",It all depends on whether it was clean at home,"Yes, it always pleases me",
610,Do you try to dress in the same color scheme?,,,,
611,Do you like to draw?,,,,
612,Do you like to visit museums?,,,,
613,What is your handwriting like?,"Beautiful, elegant",,Printed,"Terrible, poorly legible"
614,How do you behave when you fall in love?,"Give in to passion completely, even in the short-term","Something depresses me, I am anxious and worried","Don't worry about anything, feel calm",
615,"When you scroll through your feed, what takes your attention first?",Political and economic news,Information about sports,Articles about culture,Photographs of pretty people
616,"If you had a choice, what would you prefer?",Get a big inheritance,Create something significant in art or science,Meet a great love,Achieve stable successes in your profession
617,Do you feel good in an atmosphere of struggle and competition?,,,,
618,Do you think you have a lot of fire and ardor in you?,,,,
619,Are you a talkative person?,,,,
620,Do you like to dance?,,,,
621,How do you rate the tenderness of others towards you?,You can show it anytime and anywhere,Restrained,It puts me in an awkward position,I don’t like any kinds of tenderness
622,What can't you stand the most?,"Lies, empty promises",Risk,Various kinds of restrictions,Loneliness
623,What do you dream about?,Travel around the world,World peace,"House, family",Become a pro at what I love
624,Which of the above is closer to you?,"Adventure, passion, excitement","Friends, communication, discussion","Warm weather, harmony, beauty","Children, home comfort, tenderness"
625,What phrase would you give preference?,Be generous,Movement is life,Love saves the world,Believe in a dream and everything will come true
626,What is your voice tone?,,,,
627,What are your bad habits?,Smoking,Alcohol,There are no bad habits,
628,"In relationships with the opposite sex, the most important thing for you is...",Independence and lack of control,Mutual understanding without verbal skirmishes,Respect for my features,Lack of nonsense and suspicion
629,What quality of a person throws you off balance?,,Impudence,Passivity,Primitiveness
630,You strive to...,Keep up with the times,Be responsible for events in my life,Use new opportunities,Involve others in my work
631,Your decisions are based on...,Rationality,Personal opinion,Prudence,Intuition
632,What do you associate the events of your life with?,With scientific and cognitive activity,With interesting adventures,With detective investigations,With philosophical teachings
633,What is your behavior after making a mistake?,Try to change something,"Tell myself, ""this happens""",Accuse another person,Take responsibility for the mistake
634,Where would you live?,On an uninhabited island,In an old big castle,In a wild forest,In an imaginary world
635,Are you more a listener or a speaker?,,,,
636,Do people consider you a quiet and calm person?,,,,
637,Do you think for a long time before answering a question?,,,,
638,Do you like grandiose holidays?,,,,
639,Do you often withdraw into yourself?,,,,
640,Are you a supporter of long romantic relations?,,We'll see how it goes,,
641,Do you talk slowly?,,,,
642,Do you like to talk on the phone?,,,,
643,Do you lose self-confidence when you have to solve a difficult problem?,,,,
644,Do you like having a wide range of acquaintances?,,,,
645,Do you often compare yourself with others?,,,I don’t compare myself,
646,Do you like to relax?,"Yes, resting is my middle name",It is important to relax and work,"I despise inactivity, love to do business",
647,Do you strive to overcome weaknesses ?,,,Always different,
648,Can you present yourself?,,I only study,,
649,Are you often distracted from your work?,,,,
650,Do you regret missed opportunities?,,,,
651,Do you often complain about life?,,,,
652,Do you believe that everything that happens is for the best?,,,,
653,Which of the following do you do best?,"Understand people, their sensations and feelings",Set goals and build strategies to achieve them,Help people,Capture new trends and use them for my purposes
654,Which of the following best defines you?,Ability to influence people,Understanding beauty and having good taste,The ability to delight friends and relatives,The ability to manage the team and coordinate its work
655,What is easier for you to remember?,Poems and songs,Number sequences,Dance or physical exercises,
656,What is the most important thing for you in your work?,,Beauty,"Movement, activity",
657,When do you feel great?,When I manage to carefully plan everything,When I'm at risk and it is justified,When I'm surrounded by nice people,With inspiration
658,What is the first thing you pay attention to when you get to a new place?,The behavior of people,Architecture or interior,My feelings,How others react to me
659,When is it easiest for you to collect your thoughts?,In complete silence and loneliness,In the company of friends or relatives,,
660,How do you make yourself feel better?,,,,
661,Can you enjoy the little things?,,,,
662,Can you say that you live for yourself?,,,,
663,Do you know your strengths and weaknesses?,,,,
664,Do you want to dominate everyone?,,,,
665,Are you unable to decide what to give a person for a long time?,,,,
666,Do you receive emotional satisfaction during the process of creative activity?,,,,
667,Do you often change your situation?,"Yes, I update the space around me","No, very rarely, or I don't change it at all",,
668,What dishes do you order in restaurants?,I order dishes I know,I choose what the waiter recommends,I experiment with new dishes,Always different
669,Do you often go beyond the established standards?,Constantly,"No, it is not characteristic of me",,
670,Do you believe in folk traditions?,,,,
671,Do you like to analyze and look for patterns in situations?,,,,
672,"Do you like reading books, watching training videos, studying new courses?",,,,
673,Can you be unfriendly with those who disagree with the logical approach?,"Yes, such people annoy me","No, I'm neutral","No, I also think in a non-standard way myself!",
674,Do you try to systematize everything for convenience?,,,,
675,Can you talk a lot without problems?,,,,
676,Do you like people who act hastily?,"No, I don't like them","No, I'm neutral",I often make rash actions myself,
677,"Do you prefer to act spontaneously and flexibly, without a plan?",,,,
678,Do people who are not serious about anything happening infuriate you?,,,,
679,Do you like work where you need to think and analyze a lot?,,,,
680,"When you work, do you think about the hurt feelings of other people?",,,,
681,Are you too hard on yourself?,,,,
682,Do you usually rejoice silently?,"No, I demonstrate my joy openly","Yes, happiness loves silence",,
683,In the process of a quarrel you prefer...,Talk properly; Let the opponent know my opinion,"Restrained, to bring meaningful arguments ","Get away from the conflict, leaving the room",Cry
684,"There is a problem in front of you that you don’t know how to solve, what will you do?","Emotions overwhelm me, and I'd rather leave this matter",I will try to find more information to solve it,,
685,"You planned to do business tonight, but you have been invited on a date. Will you go?","Of course, I will gladly spend an evening on a date","No, I don't like to postpone planned things for later",,
686,On what criteria do you choose a cafe or restaurant?,"Design, atmosphere","Prices, portions","Service, interesting items on the menu",
687,"When you tell your friends about an interesting event, you...",Speak briefly and to the point,Share the experienced emotions,Describe both facts and emotions,
688,Can a bad mood of one of your relatives and friends influence you?,,,,
689,Who are you in this life?,,,,
690,What do you want from life?,Strong and friendly family,Be healthy,Get a job and earn a lot of money,To know yourself and the world around you
691,Which of the following answers is right for you?,I easily cope with difficulties,I want great love,I'm a good friend,I spend my time only on myself
692,What quality did you want to develop in yourself?,Responsibility,Willpower,Stress tolerance,Initiative
693,It's important to you that at home it is...,,,,
694,In what weather do you feel best?,In sunny clear weather,When it rains,When cloudy,In snowy weather
695,"If you were given $1 million, what would you spend this money on?",,,,
696,Which space object do you like the most?,,,,
697,What can you look at endlessly?,Fire burning,Water running,Sand falling in an hourglass,Television
698,Would you sacrifice yourself for your friend?,Without hesitation!,"No, I value myself too much",I have no one to sacrifice myself for,Only if the friend would do the same for me
699,At what faculty of Hogwarts would you study?,,,,
700,Are you capable for brave acts?,,,Depends on the situation,
701,What color is the most pleasing to you?,,,,
702,Do you care what other people think of you?,"It's true, I often consider others' thoughts",We all depend on others,I don't care what anyone thinks of me,
703,Is having warm relations with people extremely important to you?,"Yes, I am very sensitive to other people","This area is important to me, but I can neglect it","No, there are more important things",
704,Are you a lazy person?,,,,
705,How do you celebrate your birthday?,With my family,With friends,,With a loved one
706,What time of day do you reach the highest activity and productivity?,At night,In the morning,In the afternoon,In the evening
707,What do you prefer to eat?,Meat and fish dishes,"Vegetables, fruits, and salads",Fast food,I have a special diet
708,What drink do you prefer?,,,,
709,What quality is best developed in you?,Friendship,Wisdom,Energy,
710,Traditions or innovations?,"I'm a conservative, but a little innovation can't hurt",I'm for traditions,I'm for innovations,
711,Which climate do you like more?,I love cold and wind,I like when there are no sharp drops in the temperature,"Hot, humid, with the smell of the sea",Both hot and cold
712,Do you like fast driving?,"No, I like safety",Only if I'm driving,I love high speed,Differently
713,Do you have good figurative abstract thinking?,,,,
714,Are you capable of rich spoken and written language?,,,,
715,Are you good at organizing information?,,,,
716,Do you like to experiment with food?,"Yes, sometimes it is interesting to try something new",,,
717,How do you prefer to cook?,I like to make changes to the recipe,I love to improvize,I cook strictly according to the recipe,Always different
718,In times of danger you prefer to...,,,,Adapt
719,Do you consider yourself a strong person?,"Very much, yes",More yes than no,More no than yes,Absolutely not
720,What vacation would you choose?,Hot air balloon flight,Boat ride,Walking in underground caves,Rest on the beach
721,Which of these work options is especially unpleasant for you?,Working in silence all day at home,Physical labor,Working in an office,I can take on any job
722,Summer is a great opportunity for...,Traveling,Spending time with loved ones,Making repairs on the apartment or house,Arranging some lazy resting
723,Are you sincerely happy about your friends' successes?,,"Not always, I feel injustice",,
724,Do you like to arrange parties?,,,,
725,"If you think back on the past, do you remember mostly pleasant things?",,,,
726,"If the doctor forbids you to drink and smoke, can you do it?",,,,
727,Do you go to bed late?,,,,
728,Is it easy to surprise you?,,,,
729,Do you quickly learn new information?,,,,
730,Do you believe in clairvoyant people?,,,I find it difficult to answer,
731,Could you call yourself a good actor?,,,,
732,Are you serious about money?,,,Depends on the situation,
733,Are you able to make responsible decisions by yourself and in a timely manner?,,,,
734,Could you call yourself a persistent person?,,,,
735,Can you lead other people?,,,,
736,Do you have strong-willed qualities?,,,,
737,Is it hard for you to survive difficult days alone?,,,,
738,Do you think that in life you need to try hard?,,,,
739,Theory or practice?,,,,
740,Active or passive rest?,,,,
741,Do you talk more or listen more?,I talk more,I listen more,,
742,Have supper at a restaurant or at home?,,,,
743,What do you think about your self-esteem?,My self-esteem is at a normal/average level,I can not say exactly,It is high,"It is high, but not too high"
744,How long does it take you to adapt to a new place?,It is difficult for me to adapt,"No, I don't have difficulties with this",,
745,Can you easily revive even the most boring company?,,,,
746,Do you strive for persistence?,,,,
747,Do you value your time?,,,,
748,Do you often notice interesting things or patterns that many people don’t see?,,,,
749,If you do some work do you give it your all?,"Yes, if I'm interested in this work","Yes, I try very hard to do everything perfectly",Very rarely,"No, this is definitely not about me"
750,Does it annoy you when people don’t play according to the rules of the game?,"Yes, otherwise why do the rules exist?","No, I break the rules myself",,
751,Are you annoyed by people who strive for constancy?,"Yes, that's exactly about me","No, I'm the one who strives for constancy",Change makes me afraid,"No, it's not about me"
752,It seems to you that people...,Can live life as they please,Have little chance to live their desired life,,
753,Choose one of the statements,A person in any situation should remain honest,There are situations in which it is better to be dishonest,,
754,Choose one of the statements about relations,"I often express my opinion, even if it ruins relations",I don't say things that can ruin relations,,
755,Admitting you're wrong is...,Like a disaster,A form of honesty to others,,
756,"Falling in love, you...",write a long love message,Hint about feelings,Hide true feelings,Admit love in a joking form
757,Do you take joy in the Christmas/New Year bustle?,,"I suffer from it, from everything that must be done",,
758,Why do you think you need a higher education?,Get fundamental knowledge,Have a good time,Get to know like minded people,Find your first clients
759,What advice would you give yourself in the past?,Take care of your health,Don't be afraid to take risks,Don't listen to anyone,Appreciate those who are nearby
760,Can you call yourself a one-lover?,,No I believe that you need to gain experience in everything,Relations don’t interest me at all,
761,What would you do if you ran into a former partner on the street?,Pass by pretending not to notice them,Defiantly turn around in front of them,"Say, ""Hello, what are the odds?""",Run away from them
